Algorithm,Operation,intits,maxBytes,maxHeap,extHeap,maxStack
FrodoKEM-640-AES,decaps,6402587.0,144352.0,39512.0,64.0,104776.0
FrodoKEM-640-SHAKE,keygen,3356116.0,68424.0,30416.0,64.0,37944.0
FrodoKEM-640-SHAKE,encaps,3537741.0,99896.0,40152.0,72.0,59672.0
FrodoKEM-640-SHAKE,decaps,4031482.0,119512.0,40168.0,96.0,79248.0
FrodoKEM-976-AES,keygen,7034355.0,111864.0,47184.0,32.0,64648.0
FrodoKEM-976-AES,encaps,3491664.0,189152.0,62776.0,48.0,126328.0
FrodoKEM-976-AES,decaps,3993578.0,220648.0,62800.0,64.0,157784.0
FrodoKEM-976-SHAKE,keygen,3141181.0,104680.0,47840.0,48.0,56792.0
FrodoKEM-976-SHAKE,encaps,3477353.0,153264.0,63608.0,72.0,89584.0
FrodoKEM-976-SHAKE,decaps,3979267.0,184760.0,63632.0,88.0,121040.0
FrodoKEM-1344-AES,keygen,10741767.0,153160.0,64864.0,32.0,88264.0
FrodoKEM-1344-AES,encaps,3882769.0,259792.0,86352.0,40.0,173400.0
FrodoKEM-1344-AES,decaps,4568401.0,303096.0,86384.0,48.0,216664.0
FrodoKEM-1344-SHAKE,keygen,3406216.0,143016.0,65520.0,64.0,77432.0
FrodoKEM-1344-SHAKE,encaps,3877939.0,211032.0,87184.0,80.0,123768.0
FrodoKEM-1344-SHAKE,decaps,4557741.0,252184.0,86384.0,48.0,165752.0
BIKE-L1,keygen,3511084.7333333334,98926.93333333333,6844.0,44.0,92038.93333333333
BIKE-L1,encaps,2549781.0,34574.933333333334,8449.0,71.0,26054.933333333334
BIKE-L1,decaps,2432433.0,83446.93333333333,8481.0,79.0,74886.93333333333
BIKE-L3,keygen,5884608.0,192688.0,13268.0,36.0,179384.0
BIKE-L3,encaps,2871150.0,67104.0,16415.0,57.0,50632.0
BIKE-L3,decaps,2364433.0,161736.0,16447.0,65.0,145224.0
BIKE-L5,keygen,11310743.0,506592.0,21696.0,40.0,484856.0
BIKE-L5,encaps,3561738.0,122240.0,26882.0,70.0,95288.0
BIKE-L5,decaps,2428555.0,305128.0,26914.0,78.0,278136.0
Classic-McEliece-348864,keygen,502127093.1333333,2522320.0,267652.0,36.0,2254632.0
Classic-McEliece-348864,encaps,2334482.5,276296.0,272380.0,76.0,3840.0
Classic-McEliece-348864,decaps,2399882.5,311048.0,267844.0,60.0,43144.0
Classic-McEliece-348864f,keygen,353336603.0,2522320.0,267652.0,36.0,2254632.0
Classic-McEliece-348864f,encaps,2334592.0,276296.0,272380.0,76.0,3840.0
Classic-McEliece-348864f,decaps,2399992.0,311048.0,267844.0,60.0,43144.0
Classic-McEliece-460896,keygen,1373871502.0333333,2748984.0,537808.0,24.0,2211152.0
Classic-McEliece-460896,encaps,2330193.0,543624.0,542596.0,68.0,960.0
Classic-McEliece-460896,decaps,2456843.5,618312.0,538060.0,52.0,80200.0
Classic-McEliece-460896f,keygen,1069132319.0,2748984.0,537808.0,24.0,2211152.0
Classic-McEliece-460896f,encaps,2330285.0,543624.0,542596.0,68.0,960.0
Classic-McEliece-460896f,decaps,2456943.0,618312.0,538060.0,52.0,80200.0
Classic-McEliece-6688128,keygen,2454887043.9666667,3270616.0,1058964.0,36.0,2211616.0
Classic-McEliece-6688128,encaps,2335029.5,1070184.0,1063804.0,76.0,6304.0
Classic-McEliece-6688128,decaps,2460280.5,1153416.0,1059268.0,60.0,94088.0
Classic-McEliece-6688128f,keygen,1574838161.0,3270616.0,1058964.0,36.0,2211616.0
Classic-McEliece-6688128f,encaps,2335147.0,1070184.0,1063804.0,76.0,6304.0
Classic-McEliece-6688128f,decaps,2460398.0,1153416.0,1059268.0,60.0,94088.0
Classic-McEliece-6960119,keygen,2331418944.2,3272952.0,1061307.0,45.0,2211600.0
Classic-McEliece-6960119,encaps,2335728.5,1072472.0,1066133.0,99.0,6240.0
Classic-McEliece-6960119,decaps,2460049.5,1142520.0,1061597.0,83.0,80840.0
Classic-McEliece-6960119f,keygen,1481037471.0,3272952.0,1061307.0,45.0,2211600.0
Classic-McEliece-6960119f,encaps,2335844.0,1072472.0,1066133.0,99.0,6240.0
Classic-McEliece-6960119f,decaps,2460165.0,1142520.0,1061597.0,83.0,80840.0
Classic-McEliece-8192128,keygen,2290478445.5,3583800.0,1371984.0,24.0,2211792.0
Classic-McEliece-8192128,encaps,2327455.0,1372408.0,1371984.0,24.0,400.0
Classic-McEliece-8192128,decaps,2455744.5,1505720.0,1372288.0,48.0,133384.0
Classic-McEliece-8192128f,keygen,1726215532.0,3583800.0,1371984.0,24.0,2211792.0
Classic-McEliece-8192128f,encaps,2327563.0,1372408.0,1371984.0,24.0,400.0
Classic-McEliece-8192128f,decaps,2455860.0,1505720.0,1372288.0,48.0,133384.0
HQC-128,keygen,2485909.466666667,43408.0,4618.0,46.0,38744.0
HQC-128,encaps,2560263.4,61584.0,9163.0,77.0,52344.0
HQC-128,decaps,3068218.8666666667,70840.0,9227.0,85.0,61528.0
HQC-192,keygen,2694776.3333333335,86000.0,9164.0,44.0,76792.0
HQC-192,encaps,2876519.3333333335,122480.0,18254.0,74.0,104152.0
HQC-192,decaps,3831182.6666666665,140888.0,18318.0,82.0,122488.0
HQC-256,keygen,2985332.8666666667,163728.0,14610.0,38.0,149080.0
HQC-256,encaps,3323386.2666666666,222448.0,29143.0,65.0,193240.0
HQC-256,decaps,5192292.133333334,252056.0,29207.0,73.0,222776.0
Kyber512,keygen,2330549.0,14464.0,7080.0,48.0,7336.0
Kyber512,encaps,2375178.0,15184.0,3856.0,64.0,11264.0
Kyber512,decaps,2355443.5,16024.0,3888.0,72.0,12064.0
Kyber768,keygen,2330650.5,19712.0,8232.0,48.0,11432.0
Kyber768,encaps,2389602.6,21248.0,5328.0,64.0,15856.0
Kyber768,decaps,2361604.1,22408.0,5360.0,72.0,16976.0
Kyber1024,keygen,2330789.5,25984.0,9384.0,48.0,16552.0
Kyber1024,encaps,2405853.066666667,28528.0,6960.0,64.0,21504.0
Kyber1024,decaps,2369778.066666667,30184.0,6992.0,72.0,23120.0
Kyber512-90s,keygen,2330709.0,14560.0,7080.0,48.0,7432.0
Kyber512-90s,encaps,2382841.0,14440.0,3568.0,48.0,10824.0
Kyber512-90s,decaps,2358807.0,15248.0,3600.0,56.0,11592.0
Kyber768-90s,keygen,2330810.0,19808.0,8232.0,48.0,11528.0
Kyber768-90s,encaps,2403000.2,20456.0,5040.0,48.0,15368.0
Kyber768-90s,decaps,2369489.2,21584.0,5072.0,56.0,16456.0
Kyber1024-90s,keygen,2330986.0,26080.0,9384.0,48.0,16648.0
Kyber1024-90s,encaps,2426773.1333333333,27720.0,6672.0,48.0,21000.0
Kyber1024-90s,decaps,2383983.1333333333,29360.0,6704.0,56.0,22600.0
sntrup761,keygen,5335270.0,26752.0,3001.0,47.0,23704.0
sntrup761,encaps,2398321.0,27136.0,4072.0,64.0,23000.0
sntrup761,decaps,2415783.0,29192.0,4104.0,72.0,25016.0
FrodoKEM-640-AES,keygen,5053900.0,72936.0,29760.0,32.0,43144.0
FrodoKEM-640-AES,encaps,5903116.0,123720.0,39496.0,56.0,84168.0
FrodoKEM-640-AES,decaps,6402587.0,144352.0,39512.0,64.0,104776.0
FrodoKEM-640-SHAKE,keygen,3356116.0,68424.0,30416.0,64.0,37944.0
FrodoKEM-640-SHAKE,encaps,3537741.0,99896.0,40152.0,72.0,59672.0
FrodoKEM-640-SHAKE,decaps,4031482.0,119512.0,40168.0,96.0,79248.0
FrodoKEM-976-AES,keygen,7034355.0,111864.0,47184.0,32.0,64648.0
FrodoKEM-976-AES,encaps,3491664.0,189152.0,62776.0,48.0,126328.0
FrodoKEM-976-AES,decaps,3993578.0,220648.0,62800.0,64.0,157784.0
FrodoKEM-976-SHAKE,keygen,3141181.0,104680.0,47840.0,48.0,56792.0
FrodoKEM-976-SHAKE,encaps,3477353.0,153264.0,63608.0,72.0,89584.0
FrodoKEM-976-SHAKE,decaps,3979267.0,184760.0,63632.0,88.0,121040.0
FrodoKEM-1344-AES,keygen,10741767.0,153160.0,64864.0,32.0,88264.0
FrodoKEM-1344-AES,encaps,3882769.0,259792.0,86352.0,40.0,173400.0
FrodoKEM-1344-AES,decaps,4568401.0,303096.0,86384.0,48.0,216664.0
FrodoKEM-1344-SHAKE,keygen,3406216.0,143016.0,65520.0,64.0,77432.0
FrodoKEM-1344-SHAKE,encaps,3877939.0,211032.0,87184.0,80.0,123768.0
FrodoKEM-1344-SHAKE,decaps,4557741.0,252184.0,86384.0,48.0,165752.0
BIKE-L1,keygen,3511084.7333333334,98926.93333333333,6844.0,44.0,92038.93333333333
BIKE-L1,encaps,2549781.0,34574.933333333334,8449.0,71.0,26054.933333333334
BIKE-L1,decaps,2432433.0,83446.93333333333,8481.0,79.0,74886.93333333333
BIKE-L3,keygen,5884608.0,192688.0,13268.0,36.0,179384.0
BIKE-L3,encaps,2871150.0,67104.0,16415.0,57.0,50632.0
BIKE-L3,decaps,2364433.0,161736.0,16447.0,65.0,145224.0
BIKE-L5,keygen,11310743.0,506592.0,21696.0,40.0,484856.0
BIKE-L5,encaps,3561738.0,122240.0,26882.0,70.0,95288.0
BIKE-L5,decaps,2428555.0,305128.0,26914.0,78.0,278136.0
Classic-McEliece-348864,keygen,502127093.1333333,2522320.0,267652.0,36.0,2254632.0
Classic-McEliece-348864,encaps,2334482.5,276296.0,272380.0,76.0,3840.0
Classic-McEliece-348864,decaps,2399882.5,311048.0,267844.0,60.0,43144.0
Classic-McEliece-348864f,keygen,353336603.0,2522320.0,267652.0,36.0,2254632.0
Classic-McEliece-348864f,encaps,2334592.0,276296.0,272380.0,76.0,3840.0
Classic-McEliece-348864f,decaps,2399992.0,311048.0,267844.0,60.0,43144.0
Classic-McEliece-460896,keygen,1373871502.0333333,2748984.0,537808.0,24.0,2211152.0
Classic-McEliece-460896,encaps,2330193.0,543624.0,542596.0,68.0,960.0
Classic-McEliece-460896,decaps,2456843.5,618312.0,538060.0,52.0,80200.0
Classic-McEliece-460896f,keygen,1069132319.0,2748984.0,537808.0,24.0,2211152.0
Classic-McEliece-460896f,encaps,2330285.0,543624.0,542596.0,68.0,960.0
Classic-McEliece-460896f,decaps,2456943.0,618312.0,538060.0,52.0,80200.0
Classic-McEliece-6688128,keygen,2454887043.9666667,3270616.0,1058964.0,36.0,2211616.0
Classic-McEliece-6688128,encaps,2335029.5,1070184.0,1063804.0,76.0,6304.0
Classic-McEliece-6688128,decaps,2460280.5,1153416.0,1059268.0,60.0,94088.0
Classic-McEliece-6688128f,keygen,1574838161.0,3270616.0,1058964.0,36.0,2211616.0
Classic-McEliece-6688128f,encaps,2335147.0,1070184.0,1063804.0,76.0,6304.0
Classic-McEliece-6688128f,decaps,2460398.0,1153416.0,1059268.0,60.0,94088.0
Classic-McEliece-6960119,keygen,2331418944.2,3272952.0,1061307.0,45.0,2211600.0
Classic-McEliece-6960119,encaps,2335728.5,1072472.0,1066133.0,99.0,6240.0
Classic-McEliece-6960119,decaps,2460049.5,1142520.0,1061597.0,83.0,80840.0
Classic-McEliece-6960119f,keygen,1481037471.0,3272952.0,1061307.0,45.0,2211600.0
Classic-McEliece-6960119f,encaps,2335844.0,1072472.0,1066133.0,99.0,6240.0
Classic-McEliece-6960119f,decaps,2460165.0,1142520.0,1061597.0,83.0,80840.0
Classic-McEliece-8192128,keygen,2290478445.5,3583800.0,1371984.0,24.0,2211792.0
Classic-McEliece-8192128,encaps,2327455.0,1372408.0,1371984.0,24.0,400.0
Classic-McEliece-8192128,decaps,2455744.5,1505720.0,1372288.0,48.0,133384.0
Classic-McEliece-8192128f,keygen,1726215532.0,3583800.0,1371984.0,24.0,2211792.0
Classic-McEliece-8192128f,encaps,2327563.0,1372408.0,1371984.0,24.0,400.0
Classic-McEliece-8192128f,decaps,2455860.0,1505720.0,1372288.0,48.0,133384.0
HQC-128,keygen,2485909.466666667,43408.0,4618.0,46.0,38744.0
HQC-128,encaps,2560263.4,61584.0,9163.0,77.0,52344.0
HQC-128,decaps,3068218.8666666667,70840.0,9227.0,85.0,61528.0
HQC-192,keygen,2694776.3333333335,86000.0,9164.0,44.0,76792.0
HQC-192,encaps,2876519.3333333335,122480.0,18254.0,74.0,104152.0
HQC-192,decaps,3831182.6666666665,140888.0,18318.0,82.0,122488.0
HQC-256,keygen,2985332.8666666667,163728.0,14610.0,38.0,149080.0
HQC-256,encaps,3323386.2666666666,222448.0,29143.0,65.0,193240.0
HQC-256,decaps,5192292.133333334,252056.0,29207.0,73.0,222776.0
Kyber512,keygen,2330549.0,14464.0,7080.0,48.0,7336.0
Kyber512,encaps,2375178.0,15184.0,3856.0,64.0,11264.0
Kyber512,decaps,2355443.5,16024.0,3888.0,72.0,12064.0
Kyber768,keygen,2330650.5,19712.0,8232.0,48.0,11432.0
Kyber768,encaps,2389602.6,21248.0,5328.0,64.0,15856.0
Kyber768,decaps,2361604.1,22408.0,5360.0,72.0,16976.0
Kyber1024,keygen,2330789.5,25984.0,9384.0,48.0,16552.0
Kyber1024,encaps,2405853.066666667,28528.0,6960.0,64.0,21504.0
Kyber1024,decaps,2369778.066666667,30184.0,6992.0,72.0,23120.0
Kyber512-90s,keygen,2330709.0,14560.0,7080.0,48.0,7432.0
Kyber512-90s,encaps,2382841.0,14440.0,3568.0,48.0,10824.0
Kyber512-90s,decaps,2358807.0,15248.0,3600.0,56.0,11592.0
Kyber768-90s,keygen,2330810.0,19808.0,8232.0,48.0,11528.0
Kyber768-90s,encaps,2403000.2,20456.0,5040.0,48.0,15368.0
Kyber768-90s,decaps,2369489.2,21584.0,5072.0,56.0,16456.0
Kyber1024-90s,keygen,2330986.0,26080.0,9384.0,48.0,16648.0
Kyber1024-90s,encaps,2426773.1333333333,27720.0,6672.0,48.0,21000.0
Kyber1024-90s,decaps,2383983.1333333333,29360.0,6704.0,56.0,22600.0
sntrup761,keygen,5335270.0,26752.0,3001.0,47.0,23704.0
sntrup761,encaps,2398321.0,27136.0,4072.0,64.0,23000.0
sntrup761,decaps,2415783.0,29192.0,4104.0,72.0,25016.0
FrodoKEM-640-AES,keygen,5053900.0,72936.0,29760.0,32.0,43144.0
FrodoKEM-640-AES,encaps,5903116.0,123720.0,39496.0,56.0,84168.0
FrodoKEM-640-AES,decaps,6402587.0,144352.0,39512.0,64.0,104776.0
FrodoKEM-640-SHAKE,keygen,3356116.0,68424.0,30416.0,64.0,37944.0
FrodoKEM-640-SHAKE,encaps,3537741.0,99896.0,40152.0,72.0,59672.0
FrodoKEM-640-SHAKE,decaps,4031482.0,119512.0,40168.0,96.0,79248.0
FrodoKEM-976-AES,keygen,7034355.0,111864.0,47184.0,32.0,64648.0
FrodoKEM-976-AES,encaps,3491664.0,189152.0,62776.0,48.0,126328.0
FrodoKEM-976-AES,decaps,3993578.0,220648.0,62800.0,64.0,157784.0
FrodoKEM-976-SHAKE,keygen,3141181.0,104680.0,47840.0,48.0,56792.0
FrodoKEM-976-SHAKE,encaps,3477353.0,153264.0,63608.0,72.0,89584.0
FrodoKEM-976-SHAKE,decaps,3979267.0,184760.0,63632.0,88.0,121040.0
FrodoKEM-1344-AES,keygen,10741767.0,153160.0,64864.0,32.0,88264.0
FrodoKEM-1344-AES,encaps,3882769.0,259792.0,86352.0,40.0,173400.0
FrodoKEM-1344-AES,decaps,4568401.0,303096.0,86384.0,48.0,216664.0
FrodoKEM-1344-SHAKE,keygen,3406216.0,143016.0,65520.0,64.0,77432.0
FrodoKEM-1344-SHAKE,encaps,3877939.0,211032.0,87184.0,80.0,123768.0
FrodoKEM-1344-SHAKE,decaps,4557741.0,252184.0,86384.0,48.0,165752.0
